user_id,movie_id,predicted rating,rating,tp
1,1,3.9984618664419274,5,874965758
2,1,3.729835397694112,4,888550871
5,1,3.5507055784696937,4,875635748
6,1,3.833779916195213,4,883599478
10,1,4.205186809225,4,877888877
13,1,3.5120897181561084,3,882140487
15,1,2.69954081003667,1,879455635
16,1,4.536469960316771,5,877717833
17,1,3.381143259558391,4,885272579
18,1,3.7714558023278273,5,880130802
20,1,3.472834874728198,3,879667963
21,1,3.3450933546480432,5,874951244
23,1,3.6429759931549412,5,874784615
25,1,4.1249163388810945,5,885853415
26,1,3.463049917800991,3,891350625
38,1,4.364709770989817,5,892430636
41,1,3.7654185196948013,4,890692860
42,1,4.580548891100626,5,881105633
43,1,4.14667911506083,5,875975579
44,1,3.845631133347115,4,878341315
45,1,4.101774984761621,5,881013176
49,1,2.4308480073410736,2,888068651
54,1,3.954296604708796,4,880931595
56,1,3.9341500646185326,4,892683248
57,1,4.098080979541404,5,883698581
58,1,3.8544950719095317,5,884304483
59,1,3.5766139070299587,2,888203053
62,1,3.252443823351854,2,879372813
63,1,3.328114565792273,3,875747368
64,1,3.6573479676880467,4,879366214
65,1,3.6849978304726934,3,879217290
66,1,3.7173169269580653,3,883601324
67,1,4.062153483429481,3,875379445
70,1,3.6339102515205144,4,884065277
72,1,3.7108928564759047,4,880035614
73,1,3.6812681259646753,2,888626065
75,1,4.0404241052670375,4,884050018
77,1,3.944082820871995,5,884732808
79,1,3.9258622950817017,4,891271870
81,1,3.7466727783384037,4,876534949
82,1,3.436988998988358,4,876311241
83,1,3.612485996648146,4,880306903
84,1,3.772691304286887,2,883452108
89,1,4.526971756307612,5,879461219
92,1,3.393951764316105,4,875810511
93,1,3.992655157663163,5,888705321
94,1,4.123626134233318,4,885870323
95,1,3.8598151107096794,5,879197329
96,1,4.267479189336003,5,884403574
97,1,4.146251203943,4,884238911
99,1,3.704486517267873,4,886518459
101,1,3.4514228354846264,3,877136039
102,1,3.0769989075444872,3,883748352
106,1,3.9300469342101527,4,881449487
108,1,3.8295456800595526,4,879879720
109,1,3.6947419569779782,4,880563619
117,1,4.074245937890073,4,880126083
120,1,3.801317228762672,4,889490412
121,1,3.6132089892864947,4,891388475
124,1,3.4902808660548708,3,890287733
125,1,4.274801110947024,4,879454699
128,1,3.8014533126834165,4,879966919
130,1,4.43851580707767,5,874953595
131,1,3.942761477933676,4,883681384
134,1,4.307980672865615,5,891732756
137,1,4.444574527559032,3,881433048
138,1,4.349576148191073,4,879023031
141,1,3.778117329079485,3,884584753
144,1,3.8900532613904604,4,888104063
145,1,3.8279870835460064,3,882181396
148,1,4.291185516479776,4,877019411
150,1,3.735799762291192,4,878746441
151,1,4.323206168445017,5,879524151
157,1,4.514427102162443,5,874813703
158,1,3.870772837108036,4,880132443
160,1,4.1047357105675495,4,876768025
162,1,3.8978952466582575,4,877635819
168,1,4.143156325085768,5,884287509
174,1,4.150845537632513,3,886433898
177,1,3.21187888977616,3,880130699
178,1,4.072665349662508,4,882823805
181,1,2.3917794580531,3,878962392
182,1,4.10208469493429,4,885613092
184,1,3.7703258346217536,4,889907652
189,1,4.305093052087791,5,893264174
193,1,3.8213153522340475,4,890859954
194,1,3.2410583757426896,4,879539127
198,1,3.77661592602132,4,884205081
199,1,2.994586890326088,1,883782854
200,1,4.340618239105162,5,876042340
201,1,3.005198648458428,3,884113635
202,1,3.0210930605737265,3,879727059
203,1,3.866728677853559,3,880434384
204,1,3.27280697894449,2,892513979
209,1,3.484091006899943,5,883460644
210,1,4.1020233019492744,5,887731052
213,1,3.670431734321927,2,878870719
216,1,3.9875150017743413,4,880232615
222,1,3.677990346460219,4,877563227
223,1,4.094256186552639,4,891549324
230,1,3.7989552223881984,5,880484370
231,1,3.8383541255339626,3,879965704
232,1,3.783681714243211,4,880062302
234,1,3.339419968435244,3,891227689
235,1,3.8293347908838102,4,889655571
242,1,4.43158687756036,4,879740362
243,1,3.8857291626671073,4,879987239
244,1,3.8705304368613813,4,880604405
246,1,3.854742769533731,4,884920918
247,1,3.764609023150966,4,893097024
248,1,3.5483002500448144,3,884535744
249,1,4.303381316309022,4,879572210
250,1,3.9940373230276185,4,883263374
251,1,3.9463819607267094,4,886272009
252,1,4.868520510460129,5,891456989
253,1,4.324033145258802,5,891628467
254,1,3.453426303035127,3,887347350
256,1,4.823204902300938,5,882150980
262,1,3.19168748664117,3,879962366
263,1,4.211352523158067,5,891299207
265,1,3.7904345618103523,5,875320247
268,1,3.7717387908415283,3,875742341
271,1,3.6238453029650284,3,886106038
274,1,4.345584688519,4,878945466
275,1,3.3366474257778287,4,875154310
276,1,4.199877885038362,5,874786568
277,1,3.7878306854074557,4,879544145
279,1,3.65792084410998,3,875295812
280,1,4.021290368518234,4,891700426
286,1,3.671735218414891,4,876521699
287,1,4.364690732487092,5,875334088
289,1,3.4474879089766404,3,876789736
290,1,3.7741278701721472,5,880474327
291,1,4.415832311139881,5,874834481
292,1,4.308587130979153,4,881104147
293,1,3.312999363141634,2,888904861
294,1,4.4316886721045305,5,877819634
